,date,days_since_start,cases,cases_increase,7_day_cases,14_day_cases,42_day_cases,cases_pct_inc,deaths,deaths_increase,deaths_pct_inc,7_day_deaths,42_day_deaths,14_day_deaths
146,2020-06-15,147,2126574,20117,22133.285714285714,21812.5,22363.619047619046,0.96,116216,448,0.39,724.5714285714286,1126.452380952381,793.0714285714286
147,2020-06-16,148,2151459,24885,23001.85714285714,22104.928571428572,22391.619047619046,1.17,116985,769,0.66,687.2857142857143,1091.5714285714287,770.7142857142857
148,2020-06-17,149,2177114,25655,23402.285714285714,22509.785714285714,22418.97619047619,1.19,117746,761,0.65,663.2857142857143,1045.2142857142858,754.4285714285714
149,2020-06-18,150,2205173,28059,24096.14285714286,22970.0,22409.0,1.29,118473,727,0.62,641.8571428571429,1015.9047619047619,734.3571428571429
150,2020-06-19,151,2236009,30836,24859.428571428572,23121.928571428572,22484.904761904763,1.4,119171,698,0.59,630.2857142857143,995.0238095238095,704.7857142857143
151,2020-06-20,152,2268034,32025,25815.285714285714,23801.14285714286,22655.309523809523,1.43,119717,546,0.46,609.4285714285714,973.4047619047619,691.7857142857143
152,2020-06-21,153,2294413,26379,26850.85714285714,24355.64285714286,22799.64285714286,1.16,119974,257,0.21,600.8571428571429,957.3333333333334,682.2857142857143
153,2020-06-22,154,2324879,30466,28329.285714285714,25231.285714285714,23105.47619047619,1.33,120334,360,0.3,588.2857142857143,942.5238095238095,656.4285714285714
154,2020-06-23,155,2359939,35060,29782.85714285714,26392.35714285714,23409.285714285714,1.51,121167,833,0.69,597.4285714285714,923.0238095238095,642.3571428571429
155,2020-06-24,156,2396928,36989,31402.0,27402.14285714286,23786.52380952381,1.57,121934,767,0.63,598.2857142857143,899.1904761904761,630.7857142857143
156,2020-06-25,157,2438101,41173,33275.42857142857,28685.785714285714,24124.880952380954,1.72,124400,2466,2.02,846.7142857142857,916.5238095238095,744.2857142857143
157,2020-06-26,158,2483629,45528,35374.28571428572,30116.85714285714,24584.190476190477,1.87,125033,633,0.51,837.4285714285714,893.6666666666666,733.8571428571429
158,2020-06-27,159,2525928,42299,36842.0,31328.64285714286,25028.0,1.7,125544,511,0.41,832.4285714285714,876.6666666666666,720.9285714285714
159,2020-06-28,160,2565436,39508,38717.57142857143,32784.21428571428,25515.95238095238,1.56,125815,271,0.22,834.4285714285714,863.0238095238095,717.6428571428571
160,2020-06-29,161,2604932,39496,40007.57142857143,34168.42857142857,25936.64285714286,1.54,126162,347,0.28,832.5714285714286,851.1428571428571,710.4285714285714
161,2020-06-30,162,2653321,48389,41911.71428571428,35847.28571428572,26589.309523809523,1.86,127462,1300,1.03,899.2857142857143,845.9047619047619,748.3571428571429
162,2020-07-01,163,2703296,49975,43766.857142857145,37584.42857142857,27229.904761904763,1.88,128104,642,0.5,881.4285714285714,826.0238095238095,739.8571428571429
163,2020-07-02,164,2758855,55559,45822.0,39548.71428571428,27940.04761904762,2.06,128827,723,0.56,632.4285714285714,812.0238095238095,739.5714285714286
164,2020-07-03,165,2816009,57154,47482.857142857145,41428.57142857143,28734.214285714286,2.07,129418,591,0.46,626.4285714285714,795.4285714285714,731.9285714285714
165,2020-07-04,166,2866015,50006,48583.857142857145,42712.92857142857,29394.64285714286,1.78,129679,261,0.2,590.7142857142857,776.6428571428571,711.5714285714286
166,2020-07-05,167,2910782,44767,49335.142857142855,44026.357142857145,29983.595238095237,1.56,129941,262,0.2,589.4285714285714,768.1190476190476,711.9285714285714
167,2020-07-06,168,2958098,47316,50452.28571428572,45229.92857142857,30655.404761904763,1.63,130332,391,0.3,595.7142857142857,765.2857142857143,714.1428571428571
168,2020-07-07,169,3012182,54084,51265.857142857145,46588.78571428572,31493.214285714286,1.83,131290,958,0.74,546.8571428571429,770.3095238095239,723.0714285714286
169,2020-07-08,170,3071637,59455,52620.142857142855,48193.5,32462.52380952381,1.97,132238,948,0.72,590.5714285714286,757.5238095238095,736.0
170,2020-07-09,171,3131526,59889,53238.71428571428,49530.357142857145,33352.45238095238,1.95,133079,841,0.64,607.4285714285714,748.9761904761905,619.9285714285714
171,2020-07-10,172,3199753,68227,54820.57142857143,51151.71428571428,34392.42857142857,2.18,133907,828,0.62,641.2857142857143,740.3571428571429,633.8571428571429
172,2020-07-11,173,3260474,60721,56351.28571428572,52467.57142857143,35281.09523809524,1.9,134582,675,0.5,700.4285714285714,733.5,645.5714285714286
173,2020-07-12,174,3318279,57805,58213.857142857145,53774.5,36166.119047619046,1.77,134977,395,0.29,719.4285714285714,728.5238095238095,654.4285714285714
174,2020-07-13,175,3379846,61567,60249.71428571428,55351.0,37110.642857142855,1.86,135402,425,0.31,724.2857142857143,721.1666666666666,660.0
